Home	Name
神仙|Gods	神瑛侍者
神仙|Gods	钟情大士
神仙|Gods	绛珠仙草
神仙|Gods	引愁金女
神仙|Gods	茫茫大士
神仙|Gods	渺渺真人
神仙|Gods	痴梦仙姑
神仙|Gods	警幻仙子
神仙|Gods	度恨菩提
贾家|Jia	秋桐
贾家|Jia	贾琛
贾家|Jia	李纨
贾家|Jia	贾敷
贾家|Jia	贾菱
贾家|Jia	贾菌
贾家|Jia	贾菖
贾家|Jia	贾琼
贾家|Jia	贾敦
贾家|Jia	贾瑞
贾家|Jia	四姐
贾家|Jia	许氏
贾家|Jia	贾宝玉
贾家|Jia	贾源
贾家|Jia	贾环
贾家|Jia	贾代化
贾家|Jia	贾探春
贾家|Jia	林黛玉
贾家|Jia	贾敬
贾家|Jia	邢夫人
贾家|Jia	贾珩
贾家|Jia	贾㻞
贾家|Jia	周公子
贾家|Jia	贾芳
贾家|Jia	秦可卿
贾家|Jia	尤氏
贾家|Jia	贾兰
贾家|Jia	贾葛
贾家|Jia	贾芷
贾家|Jia	贾芬
贾家|Jia	平儿
贾家|Jia	王熙凤
贾家|Jia	贾璜
贾家|Jia	贾芸
贾家|Jia	贾敕
贾家|Jia	贾藻
贾家|Jia	贾代修
贾家|Jia	贾赦
贾家|Jia	贾政
贾家|Jia	史太君
贾家|Jia	贾演
贾家|Jia	贾元春
贾家|Jia	贾琏
贾家|Jia	孙绍祖
贾家|Jia	贾敏
贾家|Jia	贾代善
贾家|Jia	皇帝
贾家|Jia	贾蔷
贾家|Jia	贾芹
贾家|Jia	贾芝
贾家|Jia	贾琮
贾家|Jia	贾惜春
贾家|Jia	贾珍
贾家|Jia	贾效
贾家|Jia	贾迎春
贾家|Jia	尤二姐
贾家|Jia	贾珠
贾家|Jia	贾蓁
贾家|Jia	喜鸾
贾家|Jia	贾家的平辈
贾家|Jia	贾蓉
贾家|Jia	巧姐
贾家|Jia	贾代儒
贾家|Jia	贾珖
贾家|Jia	贾萍
贾家|Jia	薛宝钗
贾家|Jia	贾蘅
贾家|Jia	林如海
贾家|Jia	贾荇
贾家|Jia	王夫人
贾家|Jia	贾璘
史家|Shi	史湘云
史家|Shi	史湘云的母亲
史家|Shi	史鼎
史家|Shi	史湘云的爷爷
史家|Shi	史湘云的父亲
史家|Shi	卫若兰
史家|Shi	史鼐
史家|Shi	史家的平辈
王家|Wang	王仁
王家|Wang	王熙凤的爷爷
王家|Wang	保宁侯之子
王家|Wang	王子腾之女
王家|Wang	王熙凤的父亲
王家|Wang	王子腾
王家|Wang	王氏薛姨妈
王家|Wang	巧姐二舅
王家|Wang	王熙凤的母亲
王家|Wang	王子胜
薛家|Xue	薛家的平辈
薛家|Xue	宝蟾
薛家|Xue	薛宝琴的父亲
薛家|Xue	薛蟠的父亲
薛家|Xue	薛蟠
薛家|Xue	薛宝琴的母亲
薛家|Xue	薛宝琴
薛家|Xue	邢岫烟
薛家|Xue	梅翰林之子
薛家|Xue	夏金桂
薛家|Xue	香菱
薛家|Xue	薛蟠的爷爷
薛家|Xue	薛蝌
其他|Others	碧痕
其他|Others	板儿
其他|Others	周瑞
其他|Others	小鹊
其他|Others	庆儿
其他|Others	北静王
其他|Others	李纹
其他|Others	豆官
其他|Others	牛继宗
其他|Others	笑儿
其他|Others	石光珠
其他|Others	冯渊
其他|Others	傅试
其他|Others	冯唐
其他|Others	圆信
其他|Others	潘又安
其他|Others	花自芳
其他|Others	文官
其他|Others	李绮
其他|Others	王狗
其他|Others	夏婆子
其他|Others	李嬷嬷
其他|Others	智通
其他|Others	赵亦华
其他|Others	胡君荣
其他|Others	傻大姐
其他|Others	王善保家的
其他|Others	俞禄
其他|Others	柳彪
其他|Others	引泉
其他|Others	多姑娘
其他|Others	春燕
其他|Others	倪二
其他|Others	朱大娘
其他|Others	空空道人
其他|Others	琥珀
其他|Others	赖二
其他|Others	小红
其他|Others	谢鲸
其他|Others	程日兴
其他|Others	麝月
其他|Others	卐儿
其他|Others	叶妈
其他|Others	彩屏
其他|Others	同喜
其他|Others	雪雁
其他|Others	瑞珠
其他|Others	锄药
其他|Others	昭儿
其他|Others	彩缤
其他|Others	绣鸾
其他|Others	小吉祥儿
其他|Others	抱琴
其他|Others	赵国基
其他|Others	青儿
其他|Others	金氏
其他|Others	侍书
其他|Others	余信
其他|Others	王济仁
其他|Others	鹦鹉
其他|Others	菂官
其他|Others	蒋子宁
其他|Others	林之孝家的
其他|Others	牛清
其他|Others	春纤
其他|Others	山子野
其他|Others	鸳鸯
其他|Others	傅秋芳
其他|Others	入画
其他|Others	王嬷嬷
其他|Others	蕊官
其他|Others	丰儿
其他|Others	来旺
其他|Others	鲍太医
其他|Others	紫鹃
其他|Others	喜儿
其他|Others	藕官
其他|Others	艾官
其他|Others	文杏
其他|Others	余信家的
其他|Others	戴权
其他|Others	赖尚荣
其他|Others	小螺
其他|Others	佳蕙
其他|Others	吴天佑
其他|Others	水溶
其他|Others	祝妈
其他|Others	李婶娘
其他|Others	赵嬷嬷
其他|Others	翡翠
其他|Others	宋嬷嬷
其他|Others	妙玉
其他|Others	五儿
其他|Others	善姐
其他|Others	单大良
其他|Others	裘良
其他|Others	柳湘莲
其他|Others	王信
其他|Others	胡斯来
其他|Others	娇红
其他|Others	夏奶奶
其他|Others	炒豆
其他|Others	来喜家的
其他|Others	甄宝玉
其他|Others	邢忠
其他|Others	杏奴
其他|Others	林之孝
其他|Others	金荣
其他|Others	小玄儿
其他|Others	智能
其他|Others	冯紫英
其他|Others	翠云
其他|Others	吴贵妃
其他|Others	陈翼
其他|Others	莺儿
其他|Others	臻儿
其他|Others	翠墨
其他|Others	挑芸
其他|Others	玉儿
其他|Others	胡氏
其他|Others	茄官
其他|Others	张道士
其他|Others	赖大
其他|Others	宝珠
其他|Others	珍珠
其他|Others	何婆子
其他|Others	方椿
其他|Others	绣橘
其他|Others	司棋
其他|Others	金彩
其他|Others	文花
其他|Others	绮霞
其他|Others	侯孝康
其他|Others	素云
其他|Others	焦大
其他|Others	柳芳
其他|Others	李公子
其他|Others	乌进孝
其他|Others	钱槐
其他|Others	秋纹
其他|Others	柳家的
其他|Others	五嫂子
其他|Others	张若锦
其他|Others	花母
其他|Others	小舍儿
其他|Others	靛儿
其他|Others	四儿
其他|Others	张材家的
其他|Others	张华
其他|Others	周姨娘
其他|Others	龄官
其他|Others	金哥
其他|Others	银蝶
其他|Others	王成
其他|Others	小蝉
其他|Others	刘氏
其他|Others	小鸠儿
其他|Others	马道婆
其他|Others	詹光
其他|Others	来旺家的
其他|Others	王短腿
其他|Others	李贵
其他|Others	晴雯
其他|Others	周氏
其他|Others	玉钏
其他|Others	吴新登
其他|Others	芳官
其他|Others	墨雨
其他|Others	赵姨娘
其他|Others	昭容
其他|Others	坠儿
其他|Others	单大良家的
其他|Others	双寿
其他|Others	净虚
其他|Others	严老爷
其他|Others	陈瑞文
其他|Others	钱华
其他|Others	袭人
其他|Others	茗烟
其他|Others	卜世仁
其他|Others	周瑞家的
其他|Others	智善
其他|Others	单聘仁
其他|Others	翠缕
其他|Others	檀云
其他|Others	同贵
其他|Others	刘姥姥
其他|Others	金钏
其他|Others	佩凤
其他|Others	王荣
其他|Others	王一贴
其他|Others	扫花
其他|Others	隆儿
其他|Others	银姐
其他|Others	云儿
其他|Others	张友士
其他|Others	赵天栋
其他|Others	秦显家的
其他|Others	兴儿
其他|Others	秦业
其他|Others	云光
其他|Others	蒋玉菡
其他|Others	戴良
其他|Others	篆儿
其他|Others	金文翔
其他|Others	尤老娘
其他|Others	夏守忠
其他|Others	王君效
其他|Others	小霞
其他|Others	彩霞
其他|Others	彩云
其他|Others	鲍二家的
其他|Others	半儿
其他|Others	马尚
其他|Others	赵天梁
其他|Others	贾迎春之母
其他|Others	莲花
其他|Others	葵官
其他|Others	寿儿
其他|Others	嫣红
其他|Others	周奶娘
其他|Others	戚建辉
其他|Others	田妈
其他|Others	侯晓明
其他|Others	缮国公
其他|Others	多官
其他|Others	双瑞
其他|Others	卜固修
其他|Others	邢德全
其他|Others	秦钟
其他|Others	伴鹤
其他|Others	玻璃
其他|Others	钱启
其他|Others	茜雪
其他|Others	马魁
其他|Others	天文生
其他|Others	绣凤
其他|Others	李守中
其他|Others	偕鸾